NUM_CUPS,NUM_ROUNDS,NUM_BALLS,TIME_TAKEN
1,2.0,1.0,0.04499101638793945
2,2.8918,6.0452,0.17748284339904785
3,3.7554,16.3586,0.4639759063720703
4,4.7015,33.3253,0.9311327934265137
5,5.7046,57.2836,1.6021711826324463
6,6.6041,87.7144,2.415917158126831
7,7.6279,127.1112,3.6815218925476074
8,8.6397,174.3858,4.9136457443237305
9,9.6622,230.5398,6.370765209197998
10,10.5887,292.3526,8.082391023635864
11,11.619,365.7243,10.201220273971558
12,12.6714,450.6497,12.339737892150879
13,13.6029,538.6495,14.84308385848999
14,14.5568,635.4353,17.4097900390625
15,15.6452,749.1261,20.4391770362854
16,16.6356,868.9723,23.846834897994995
17,17.5827,996.1887,27.602649927139282
18,18.545,1131.2011,33.03112506866455
19,19.538,1279.5198,36.91928696632385
20,20.4253,1430.0317,40.609580755233765
21,21.65,1611.8583,46.18785786628723
22,22.5765,1787.2056,50.079195976257324
23,23.5824,1976.3604,54.963117599487305
24,24.4707,2166.4821,59.62588810920715
25,25.6926,2397.9825,66.54941010475159
26,26.5823,2610.6282,71.90610718727112
27,27.6793,2850.2762,78.82336211204529
28,28.6019,3085.2136,85.23619413375854
29,29.5234,3325.0886,94.48644089698792
30,30.6115,3603.341,101.93115401268005
